name,GRU_F5_TI189,LSTM_F5_TI189,GRU_F5_XGBTI15,LSTM_F5_XGBTI15,GRU_F5_Futures,LSTM_F5_Futures,GRU_F5_Category,LSTM_F5_Category,GRU_F5_Nothing,LSTM_F5_Nothing
台塑(1301),2.4372735529642053,2.52517659164666,1.9586046788413238,1.893126983893417,1.9077615217166624,1.942221395575791,2.0472864800278763,2.0328256218125325,1.935898642038393,1.9592967673324144
南亞(1303),4.038433210392343,2.873456789567017,1.8041149073246905,1.697488188555023,1.5775189888562442,1.9884804136881356,2.2816265265772593,2.0973569631625693,1.4593841127686995,1.8398633822225847
台聚(1304),8.006894002202102,7.790139142068209,2.854386444169088,3.781701935802186,2.5680597979098674,3.776141664781336,2.588591259814532,3.672050958840813,2.1773410869646432,2.3868224375876346
華夏(1305),6.8119951813569335,6.301716271001504,1.982346226042768,1.5550735991008933,1.814722277303292,1.383460932710469,2.120567748322564,1.5415478308300845,1.6807618719496182,1.4358677927060322
亞聚(1308),3.4505681717222507,2.983885080758121,1.679212494154597,1.5413755279433692,1.564152949535046,1.2985434772379485,2.0018576101452337,2.6400310141735717,1.4214981753525109,1.504211870326145
台達化(1309),7.534629221946296,6.717132799556296,3.614246466308859,3.4121307564531143,3.2739119083528783,2.8272215522443327,3.1831726919122127,2.704894881118601,3.2077815749753698,2.6525468032259947
國喬(1312),0.8359334000816697,0.7908386032389831,0.8213650444889219,0.8545358875544308,0.8474529040031229,0.8705500800655644,1.0224663006515264,0.8299638377780055,0.8510900814396829,1.1368258186594924
聯成(1313),6.1392081375692475,6.083235369725273,1.8331891855733684,1.9448155760423391,1.68535972785099,1.1312974993602327,1.5025723176839094,2.1242236794978893,1.2147901713340756,1.3293003939779036
中石化(1314),0.566870479418511,0.4755492460600037,0.4441435512691244,0.4431423042372882,0.4595419560871163,0.4810375165643286,0.4849497400128743,0.5165873996112846,0.4464876830611744,0.436247890133934
台化(1326),1.6736773464168826,1.7408122292434416,1.4154582853864213,1.7257251348736402,1.4480665207120087,1.7644270487292684,1.4222538202388348,1.4389764418327131,1.445710740768959,1.759227335883762
中鋼(2002),7.6719172645538976,7.626510220414697,1.7676343034278632,3.1257033510233554,1.3770390909833727,1.9519952176731183,1.8156315289640972,2.6574677312691524,1.6886143713643509,2.8404830779659536
東和鋼鐵(2006),10.230457563710953,8.40279910362487,3.4619461553078748,2.700334199779136,2.5243304771885047,2.527059500745164,2.5133739374896247,3.5840833603496933,2.8238532751886565,2.1886605590113835
春源(2010),5.099935134774388,5.1974537043782565,2.8375545546879057,3.919211528071688,1.51388827838166,2.6642026444878386,2.0719562267186613,2.907830741616026,1.4880029613403878,2.7099853074636218
中鴻(2014),18.544126928887422,19.0401756765772,8.204559491389768,6.191417648353072,6.017081740724532,6.928218371872354,6.45920378038675,9.44957804065792,6.383905510951263,10.196361595928318
燁輝(2023),5.388322686844533,5.274617200222847,2.193754355923493,2.6221326880965377,1.449040075428473,1.9500972014434343,2.085314939941369,1.948161601070637,1.4475108156475467,2.1584254914078524
大成鋼(2027),3.0844311864618663,2.6398849804704607,2.022299545973296,2.1479762466509627,2.0218209543920183,2.2467494372431567,2.0246306329752324,2.291777475163438,2.011037648277756,2.3084401758947126
威致(2028),11.491128568012874,9.233153389876945,4.079848586620108,6.11988087257679,2.907667573149032,4.5107334134399935,4.4772409720498345,4.17445596588154,3.938970987360788,3.485787691174248
彰源(2030),4.130426478868602,3.6989480456323127,1.6162870544764818,2.139562746993304,1.4757699605531165,1.9753270566524948,1.3726331540608858,1.5131146592831133,1.4396413527342715,1.529445285343472
新光鋼(2031),13.426439284135833,12.880772157826405,4.955021155318937,5.339547808356948,3.985526842162116,5.745917156106912,4.560649130612188,5.5642349452114885,4.811445046264951,7.495057830078478
海光(2038),14.897639636803104,14.13769446929826,8.248295000929785,5.062862241995223,5.435856537902668,6.509537375517689,4.984159745976557,9.867570617438558,4.725639517965772,6.914350221326245
長榮(2603),48.873811126844814,48.09776776183979,28.75481871981416,33.30762965687253,17.997221838286166,36.811634513382785,21.473379999058942,30.968093695744944,15.367317078921149,27.87178876367139
新興(2605),5.862220012428832,5.739319875477985,2.601777672103001,2.7898566987894333,2.241246467923702,2.287240198109161,2.116552391371672,2.293764772289636,2.282459826580708,2.4264092116319707
裕民(2606),13.268479614090353,12.582789192476552,5.221942404877557,6.369652393863604,4.4012416214823915,5.991974549569244,4.0853042257664764,3.610177219299426,4.743515808999123,5.122410748189659
陽明(2609),39.98755146868757,36.480493637225145,14.042943758670392,26.330708562036577,15.796736387404964,27.232463268387278,12.777722307904869,22.522947011655553,12.280124913676891,24.090722592713213
萬海(2615),70.4188362584898,69.19490277695678,40.395543402185005,60.753112462063406,32.029683650726625,60.91731636894185,29.095753405109445,53.45397909285496,26.2987027272586,50.74471281726058
台航(2617),11.492741823604298,11.958136970068619,4.291319650984279,6.070705563106776,4.395141450690982,4.4423988058557455,3.8189131781494656,6.100747809927242,3.205975264588884,5.1381956348823685
台驊控股(2636),51.56872358274078,54.20987634517694,26.171773553907872,44.504727573227406,18.648631420493622,36.01641979871385,23.581030563599338,35.441065048850824,18.264668461641236,33.47202328472895
慧洋-KY(2637),22.220009468962456,26.196899183977266,11.549106077800527,16.275446759961095,7.828942657833714,12.718448269800902,7.057165240930169,13.426623959768564,7.789158245634576,13.869940307752769
四維航(5608),9.43768633727986,7.089713002410108,3.2804579005796715,4.697671256524343,2.5371305187304585,3.8314895480318416,2.8411027932454513,5.183988738660001,2.55755156046482,2.627609046248463
中菲行(5609),23.76456430489653,20.61150348537764,13.268777461479473,15.819901615034619,9.183217821819774,13.42437926833991,12.266006288858664,10.997420615438473,8.389622008546574,11.081340027350382
